# E_eV,sigma_cm2
# H electron impact ionization cross section
# E_eV: beam energy [eV]  sigma_cm2: cross section [cm^2]
1.361929879309999869e+01,3.200669240525277313e-19
1.367799563852001832e+01,3.444095111168986686e-19
1.373694545729164673e+01,3.703263381172168128e-19
1.379614933968670876e+01,3.978979541796871258e-19
1.385560838067590872e+01,4.272075845249838527e-19
1.391532367994909158e+01,4.583411315368684953e-19
1.397529634193557513e+01,4.913871701315323880e-19
1.403552747582457982e+01,5.264369372214255207e-19
1.409601819558573865e+01,5.635843150623370112e-19
1.415676961998970818e+01,6.029258082946766908e-19
1.421778287262885065e+01,6.445605144984242595e-19
1.427905908193802631e+01,6.885900881028567909e-19
1.434059938121543532e+01,7.351186974991973216e-19
1.440240490864362322e+01,7.842529752287408297e-19
1.446447680731049878e+01,8.361019611331716101e-19
1.452681622523047977e+01,8.907770383795788798e-19
1.458942431536573636e+01,9.483918622726156212e-19
1.465230223564750212e+01,1.009062281818165377e-18
1.471545114899750040e+01,1.072906253993478062e-18
1.477887222334944717e+01,1.140043750718017037e-18
1.484256663167064794e+01,1.210596658541486162e-18
1.490653555198370483e+01,1.284688671074045706e-18
1.497078016738828765e+01,1.362445174219606355e-18
1.503530166608302920e+01,1.443993124300143892e-18
1.510010124138748999e+01,1.529460919166651593e-18
1.516518009176423831e+01,1.618978262423734228e-18
1.523053942084100498e+01,1.712676020924070506e-18
1.529618043743295708e+01,1.810686075707903036e-18
1.536210435556504095e+01,1.913141166577205599e-18
1.542831239449444958e+01,2.020174730527883223e-18
1.549480577873316101e+01,2.131920734288336387e-18
1.556158573807059220e+01,2.248513501216354540e-18
1.562865350759633820e+01,2.370087532858795129e-18
1.569601032772303206e+01,2.496777325452794537e-18
1.576365744420924742e+01,2.628717181711307197e-18
1.583159610818258400e+01,2.766041018248105113e-18
1.589982757616278342e+01,2.908882168984970129e-18
1.596835311008497271e+01,3.057373184902829828e-18
1.603717397732300043e+01,3.211645630602580848e-18
1.610629145071287738e+01,3.371829877979963953e-18
1.617570680857632581e+01,3.538054897559733956e-18
1.624542133474441385e+01,3.710448047782531826e-18
1.631543631858129828e+01,3.889134862856271463e-18
1.638575305500807389e+01,4.074238839443686620e-18
1.645637284452673299e+01,4.265881222815988088e-18
1.652729699324419599e+01,4.464180792827757225e-18
1.659852681289648757e+01,4.669253650245496449e-18
1.667006362087299465e+01,4.881213003894585956e-18
1.674190874024081310e+01,5.100168959061892052e-18
1.681406349976924375e+01,5.326228307735450735e-18
1.688652923395435224e+01,5.559494321059266530e-18
1.695930728304365331e+01,5.800066544496877872e-18
1.703239899306089455e+01,6.048040596265698488e-18
1.710580571583096798e+01,6.303507969361957806e-18
1.717952880900487855e+01,6.566555837811692490e-18
1.725356963608489025e+01,6.837266867377233610e-18
1.732792956644972548e+01,7.115719031415947764e-18
1.740260997537989951e+01,7.401985432108183535e-18
1.747761224408313652e+01,7.696134127601180933e-18
1.755293775971994208e+01,7.998227965397272496e-18
1.762858791542924308e+01,8.308324422463435074e-18
1.770456411035415556e+01,8.626475452282768265e-18
1.778086774966785910e+01,8.952727339449043895e-18
1.785750024459959917e+01,9.287120561807913359e-18
1.793446301246076402e+01,9.629689660839978097e-18
1.801175747667112503e+01,9.980463120245398838e-18
1.808938506678514102e+01,1.033946325328556963e-17
1.816734721851840106e+01,1.070670609888166255e-17
1.824564537377419526e+01,1.108220132693029250e-17
1.832428098067016364e+01,1.146595215293621334e-17
1.840325549356508006e+01,1.185795526213442049e-17
1.848257037308576400e+01,1.225820074327270900e-17
1.856222708615408123e+01,1.266667203235609027e-17
1.864222710601408295e+01,1.308334586622692388e-17
1.872257191225924799e+01,1.350819224609050686e-17
1.880326299085984587e+01,1.394117441147287245e-17
1.888430183419043118e+01,1.438224882393081539e-17
1.896568994105744466e+01,1.483136516121325052e-17
1.904742881672689236e+01,1.528846632156077734e-17
1.912951997295225581e+01,1.575348843797449748e-17
1.921196492800239497e+01,1.622636090290278197e-17
1.929476520668966089e+01,1.670700640249983939e-17
1.937792234039807227e+01,1.719534096130954009e-17
1.946143786711166257e+01,1.769127399637724063e-17
1.954531333144290173e+01,1.819470838124312330e-17
1.962955028466128482e+01,1.870554051929605758e-17
1.971415028472200959e+01,1.922366042675711422e-17
1.979911489629478893e+01,1.974895182436243728e-17
1.988444569079279844e+01,2.028129223825119218e-17
1.997014424640173758e+01,2.082055310966572492e-17
2.005621214810901520e+01,2.136659991264142780e-17
2.014265098773305596e+01,2.191929228040380215e-17
2.022946236395275932e+01,2.247848413915566875e-17
2.031664788233705465e+01,2.304402384982707847e-17
2.040420915537459834e+01,2.361575435688087811e-17
2.049214780250360590e+01,2.419351334436565850e-17
2.058046545014175877e+01,2.477713339813405416e-17
2.066916373171636323e+01,2.536644217491306424e-17
2.075824428769449170e+01,2.596126257668023948e-17
2.084770876561336550e+01,2.656141293149156506e-17
2.093755882011079450e+01,2.716670717851897027e-17
2.102779611295580153e+01,2.777695505879926810e-17
2.111842231307934625e+01,2.839196230997942108e-17
2.120943909660520177e+01,2.901153086527207797e-17
2.130084814688093786e+01,2.963545905623101215e-17
2.139265115450907118e+01,3.026354181881120744e-17
2.148484981737832200e+01,3.089557090220425819e-17
2.157744584069502380e+01,3.153133508071991881e-17
2.167044093701465002e+01,3.217062036727653514e-17
2.176383682627350424e+01,3.281321022914585532e-17
2.185763523582051704e+01,3.345888580475058798e-17
2.195183790044919192e+01,3.410742612219809528e-17
2.204644656242970413e+01,3.475860831762042677e-17
2.214146297154110954e+01,3.541220785444849403e-17
2.223688888510371342e+01,3.606799874270547991e-17
2.233272606801157067e+01,3.672575375754018651e-17
2.242897629276512816e+01,3.738524465703159268e-17
2.252564133950400560e+01,3.804624239974980152e-17
2.262272299603991499e+01,3.870851735986599699e-17
2.272022305788975061e+01,3.937183954132923970e-17
2.281814332830873582e+01,4.003597878962054762e-17
2.291648561832385411e+01,4.070070500139831459e-17
2.301525174676729080e+01,4.136578833173577410e-17
2.311444354031008785e+01,4.203099939803372858e-17
2.321406283349592670e+01,4.269610948149531650e-17
2.331411146877505303e+01,4.336089072440995585e-17
2.341459129653836868e+01,4.402511632456251819e-17
2.351550417515163005e+01,4.468856072542865442e-17
2.361685197098984190e+01,4.535099980226205324e-17
2.371863655847176133e+01,4.601221104451758877e-17
2.382085982009456870e+01,4.667197373259014594e-17
2.392352364646868779e+01,4.733006911152391191e-17
2.402662993635274447e+01,4.798628055847920769e-17
2.413018059668869242e+01,4.864039374640032601e-17
2.423417754263708446e+01,4.929219680170509759e-17
2.433862269761247532e+01,4.994148045723545579e-17
2.444351799331902697e+01,5.058803819989122038e-17
2.454886536978617784e+01,5.123166641263720776e-17
2.465466677540459628e+01,5.187216451114422573e-17
2.476092416696216958e+01,5.250933507462925974e-17
2.486763950968020609e+01,5.314298397103969896e-17
2.497481477724978305e+01,5.377292047709580407e-17
2.508245195186824006e+01,5.439895739136474131e-17
2.519055302427585730e+01,5.502091114293462159e-17
2.529911999379266163e+01,5.563860189314666848e-17
2.540815486835540327e+01,5.625185363159527011e-17
2.551765966455470291e+01,5.686049426748370493e-17
2.562763640767233397e+01,5.746435571342834245e-17
2.573808713171869655e+01,5.806327396472522968e-17
2.584901387947041584e+01,5.865708917186408376e-17
2.596041870250813943e+01,5.924564570826650833e-17
2.607230366125448384e+01,5.982879223177062596e-17
2.618467082501211962e+01,6.040638174002474304e-17
2.629752227200207315e+01,6.097827162130714977e-17
2.641086008940213148e+01,6.154432369896074446e-17
2.652468637338547808e+01,6.210440427100777926e-17
2.663900322915942454e+01,6.265838414335562880e-17
2.675381277100438027e+01,6.320613865903942019e-17
2.686911712231293592e+01,6.374754772181106950e-17
2.698491841562914217e+01,6.428249581348436091e-17
2.710121879268794487e+01,6.481087200830201435e-17
2.721802040445480486e+01,6.533256998096921070e-17
2.733532541116547421e+01,6.584748801020218404e-17
2.745313598236596775e+01,6.635552897780614180e-17
2.757145429695262706e+01,6.685660036347911196e-17
2.769028254321250770e+01,6.735061423467554880e-17
2.780962291886379134e+01,6.783748723222407974e-17
2.792947763109645010e+01,6.831714055226007606e-17
2.804984889661306369e+01,6.878949992407086423e-17
2.817073894166982839e+01,6.925449558344221126e-17
2.829215000211771880e+01,6.971206224273063069e-17
2.841408432344384138e+01,7.016213905781414117e-17
2.853654416081296930e+01,7.060466959038645321e-17
2.865953177910925120e+01,7.103960176812973629e-17
2.878304945297809780e+01,7.146688784078882222e-17
2.890709946686825305e+01,7.188648433400400815e-17
2.903168411507404301e+01,7.229835199868837312e-17
2.915680570177780950e+01,7.270245576097265547e-17
2.928246654109252134e+01,7.309876466479041539e-17
2.940866895710460227e+01,7.348725181637282022e-17
2.953541528391683357e+01,7.386789432327354216e-17
2.966270786569163675e+01,7.424067323350865714e-17
2.979054905669434916e+01,7.460557347079275452e-17
2.991894122133679090e+01,7.496258376860021109e-17
3.004788673422099166e+01,7.531169660304122617e-17
3.017738798018311286e+01,7.565290812280340512e-17
3.030744735433754045e+01,7.598621807812230431e-17
3.043806726212120850e+01,7.631162974884705408e-17
3.056925011933806147e+01,7.662914987042702509e-17
3.070099835220374729e+01,7.693878855874341732e-17
3.083331439739049173e+01,7.724055923515062452e-17
3.096620070207215392e+01,7.753447854777656141e-17
3.109965972396950207e+01,7.782056629577715163e-17
3.123369393139564920e+01,7.809884534958380913e-17
3.136830580330172324e+01,7.836934157201454965e-17
3.150349782932270770e+01,7.863208373941500498e-17
3.163927250982347772e+01,7.888710346063085855e-17
3.177563235594505997e+01,7.913443509741108985e-17
3.191257988965107018e+01,7.937411568390650632e-17
3.205011764377434957e+01,7.960618484557792380e-17
3.218824816206382167e+01,7.983068471909154471e-17
3.232697399923152659e+01,8.004765987138250713e-17
3.246629772099987576e+01,8.025715721928739979e-17
3.260622190414910904e+01,8.045922594941481580e-17
3.274674913656495079e+01,8.065391743831497097e-17
3.288788201728645078e+01,8.084128517262982254e-17
3.302962315655411629e+01,8.102138467012285394e-17
3.317197517585807987e+01,8.119427340149492264e-17
3.331494070798668616e+01,8.136001071159285755e-17
3.345852239707515707e+01,8.151865774307437212e-17
3.360272289865445572e+01,8.167027735821919126e-17
3.374754487970044892e+01,8.181493406490429150e-17
3.389299101868321173e+01,8.195269393994123959e-17
3.403906400561655232e+01,8.208362455557100848e-17
3.418576654210779253e+01,8.220779490600985973e-17
3.433310134140770487e+01,8.232527533516855793e-17
3.448107112846072653e+01,8.243613746449776584e-17
3.462967863995532980e+01,8.254045412384613635e-17
3.477892662437462690e+01,8.263829928072287164e-17
3.492881784204725903e+01,8.272974797320431425e-17
3.507935506519837787e+01,8.281487624242967738e-17
3.523054107800096801e+01,8.289376106640094698e-17
3.538237867662734004e+01,8.296648029526069022e-17
3.553487066930076566e+01,8.303311258800539353e-17
3.568801987634753914e+01,8.309373735007496629e-17
3.584182913024906014e+01,8.314843467181216083e-17
3.599630127569422910e+01,8.319728526897370883e-17
3.615143916963208426e+01,8.324037042432270233e-17
3.630724568132460917e+01,8.327777192960156338e-17
3.646372369239982447e+01,8.330957203019594130e-17
3.662087609690507151e+01,8.333585337004821059e-17
3.677870580136054457e+01,8.335669893882226685e-17
3.693721572481303639e+01,8.337219201872261678e-17
3.709640879888992515e+01,8.338241613493821006e-17
3.725628796785341734e+01,8.338745500528501046e-17
3.741685618865496821e+01,8.338739249257271311e-17
3.757811643099000776e+01,8.338231255771953621e-17
3.774007167735282309e+01,8.337229921372746268e-17
3.790272492309175334e+01,8.335743648267445573e-17
3.806607917646457651e+01,8.333780835154650659e-17
3.823013745869414493e+01,8.331349873130482538e-17
3.839490280402425526e+01,8.328459141629317903e-17
3.856037825977578848e+01,8.325117004598728322e-17
3.872656688640304168e+01,8.321331806627669562e-17
3.889347175755036545e+01,8.317111869317180320e-17
3.906109596010897889e+01,8.312465487830115394e-17
3.922944259427406877e+01,8.307400927400580389e-17
3.939851477360214460e+01,8.301926420098408861e-17
3.956831562506859967e+01,8.296050161687711108e-17
3.973884828912559186e+01,8.289780308540121852e-17
3.991011591976000972e+01,8.283124974794497914e-17
4.008212168455195723e+01,8.276092229446722828e-17
4.025486876473324571e+01,8.268690093758250693e-17
4.042836035524624805e+01,8.260926538618032045e-17
4.060259966480299454e+01,8.252809482098262856e-17
4.077758991594450322e+01,8.244346787099934254e-17
4.095333434510041570e+01,8.235546259060073627e-17
4.112983620264881068e+01,8.226415643902749913e-17
4.130709875297634426e+01,8.216962625909480726e-17
4.148512527453862475e+01,8.207194825764937929e-17
4.166391905992083622e+01,8.197119798803595805e-17
4.184348341589864617e+01,8.186745033209957228e-17
4.202382166349936199e+01,8.176077948363205473e-17
4.220493713806333602e+01,8.165125893285328695e-17
4.238683318930570465e+01,8.153896145183786921e-17
4.256951318137822682e+01,8.142395908086467137e-17
