# eps,sigma_cm2
# He electron impact ionization cross section (a_11s coefficients)
# eps = E_beam/IE_He (dimensionless)  sigma_cm2: cross section [cm^2]
1.000999999999999890e+00,2.328644303915405065e-20
1.004718829490257370e+00,1.120684189988542327e-19
1.008451474857415819e+00,2.044533497722602092e-19
1.012197987429037660e+00,3.002391160577542667e-19
1.015958418723373891e+00,3.992315637637841660e-19
1.019732820450071076e+00,5.012442536361671416e-19
1.023521244510883443e+00,6.060982176091438583e-19
1.027323743000386091e+00,7.136217217178647275e-19
1.031140368206691527e+00,8.236500354135350373e-19
1.034971172612168200e+00,9.360252071260928006e-19
1.038816208894162818e+00,1.050595845922800532e-18
1.042675529925724431e+00,1.167216909114418771e-18
1.046549188776331407e+00,1.285749495664195448e-18
1.050437238712621735e+00,1.406060645257949140e-18
1.054339733199124440e+00,1.528023142896853223e-18
1.058256725898995887e+00,1.651515328877705700e-18
1.062188270674756740e+00,1.776420914028301695e-18
1.066134421589033376e+00,1.902628800068915002e-18
1.070095232905301064e+00,2.030032904973400563e-18
1.074070759088630034e+00,2.158531993206608653e-18
1.078061054806434438e+00,2.288029510717550850e-18
1.082066174929223967e+00,2.418433424570322013e-18
1.086086174531358806e+00,2.549656067097809509e-18
1.090121108891806800e+00,2.681613984465516619e-18
1.094171033494902856e+00,2.814227789535602324e-18
1.098236004031112989e+00,2.947422018923754161e-18
1.102316076397799938e+00,3.081124994143883217e-18
1.106411306699990771e+00,3.215268686738031162e-18
1.110521751251150047e+00,3.349788587291498138e-18
1.114647466573952528e+00,3.484623578235053030e-18
1.118788509401061448e+00,3.619715810338830973e-18
1.122944936675908778e+00,3.755010582804364110e-18
1.127116805553476819e+00,3.890456226863521239e-18
1.131304173401086466e+00,4.026003992795336016e-18
1.135507097799183907e+00,4.161607940273433629e-18
1.139725636542133325e+00,4.297224831959207182e-18
1.143959847639011818e+00,4.432814030257661471e-18
1.148209789314406981e+00,4.568337397154618339e-18
1.152475520009217158e+00,4.703759197056295047e-18
1.156757098381455018e+00,4.839046002553657633e-18
1.161054583307055132e+00,4.974166603036193789e-18
1.165368033880682441e+00,5.109091916081010114e-18
1.169697509416545600e+00,5.243794901545520533e-18
1.174043069449212107e+00,5.378250478293107457e-18
1.178404773734427202e+00,5.512435443483129374e-18
1.182782682249935435e+00,5.646328394358176270e-18
1.187176855196306224e+00,5.779909652463115896e-18
1.191587352997760085e+00,5.913161190231817447e-18
1.196014236303000855e+00,6.046066559879268860e-18
1.200457565986049246e+00,6.178610824538085034e-18
1.204917403147079957e+00,6.310780491579815646e-18
1.209393809113261664e+00,6.442563448063051227e-18
1.213886845439600792e+00,6.573948898251583461e-18
1.218396573909787062e+00,6.704927303147245367e-18
1.222923056537044362e+00,6.835490321983462934e-18
