# T_eV,rate_cm3_s
# He electron-impact ionization rate averaged over a 3D Maxwellian
# Generated with He_EII_cross, a_11s, and E_ion
1.000000000000000056e-01,8.512388341284865443e-117
1.006938631476027579e-01,4.650537720839254023e-116
1.013925407558815134e-01,2.511223471451791650e-115
1.020960662306046735e-01,1.340395442723444653e-114
1.028044732093309210e-01,7.072624730261804433e-114
1.035177955630176283e-01,3.689460309796301027e-113
1.042360673976401725e-01,1.902890728931303205e-112
1.049593230558227425e-01,9.704376272870752221e-112
1.056875971184804280e-01,4.893931985603839609e-111
1.064209244064724114e-01,2.440721793921979978e-110
1.071593399822671072e-01,1.203876586912588431e-109
1.079028791516184194e-01,5.873298308234694911e-109
1.086515774652538069e-01,2.834336353427129059e-108
1.094054707205742716e-01,1.353077148968179921e-107
1.101645949633656418e-01,6.390398787789121527e-107
1.109289864895222771e-01,2.986068396941132998e-106
1.116986818467823189e-01,1.380606360129453532e-105
1.124737178364751677e-01,6.316405972278597612e-105
1.132541315152811728e-01,2.859774233314854843e-104
1.140399601970032845e-01,1.281404642553251916e-103
1.148312414543511129e-01,5.682830938599502297e-103
1.156280131207376022e-01,2.494582847403257786e-102
1.164303132920876532e-01,1.083968149095941235e-101
1.172381803286598884e-01,4.662844521332106888e-101
1.180516528568805179e-01,1.985781187464672937e-100
1.188707697711903349e-01,8.373131387933388510e-100
1.196955702359043389e-01,3.495829814309711343e-99
1.205260936870842653e-01,1.445267110879357402e-98
1.213623798344240778e-01,5.917125978746330554e-98
1.222044686631488380e-01,2.399206135262034736e-97
1.230524004359261625e-01,9.634903184282500723e-97
1.239062156947916271e-01,3.832471937615637525e-96
1.247659552630869806e-01,1.510049010524356944e-95
1.256316602474120414e-01,5.894024422231076213e-95
1.265033720395903616e-01,2.279133942529197475e-94
1.273811323186478384e-01,8.731579333934586407e-94
1.282649830528060642e-01,3.314428168626740851e-93
1.291549665014883885e-01,1.246651008426158153e-92
1.300511252173408849e-01,4.646533588103456203e-92
1.309535020482667234e-01,1.716281096987782944e-91
1.318621401394748371e-01,6.282752670667883994e-91
1.327770829355429671e-01,2.279505176594444494e-90
1.336983741824946670e-01,8.197604496138436659e-90
1.346260579298909910e-01,2.922238105200556619e-89
1.355601785329368647e-01,1.032649204725437971e-88
1.365007806546013891e-01,3.617634976109769463e-88
1.374479092677537428e-01,1.256485099516145514e-87
1.384016096573131571e-01,4.326895323817286940e-87
1.393619274224142390e-01,1.477431935136319378e-86
1.403289084785872831e-01,5.002372706333297096e-86
1.413025990599533765e-01,1.679605657794864555e-85
1.422830457214352695e-01,5.592762857341949378e-85
1.432702953409830948e-01,1.846962916149432950e-84
1.442643951218157694e-01,6.049609905360811899e-84
1.452653925946780777e-01,1.965434390431283650e-83
1.462733356201129931e-01,6.333971506787350082e-83
1.472882723907502633e-01,2.024903154038233380e-82
1.483102514336104294e-01,6.421952082318255775e-82
1.493393216124252187e-01,2.020637491293465441e-81
1.503755321299738157e-01,6.308004868498096814e-81
1.514189325304352018e-01,1.953896080637255272e-80
1.524695727017573721e-01,6.005374999137545615e-80
1.535275028780422601e-01,1.831602668435304653e-79
1.545927736419477616e-01,5.543677371557837351e-79
1.556654359271061605e-01,1.665187300933531160e-78
1.567455410205594868e-01,4.964202132320262761e-78
1.578331405652117214e-01,1.468857453448933095e-77
1.589282865622977936e-01,4.313960083394136077e-77
1.600310313738700918e-01,1.257653962192649714e-76
1.611414277253019334e-01,3.639627306510700185e-76
1.622595287078087423e-01,1.045647645282630203e-75
1.633853877809861299e-01,2.982416866548467897e-75
1.645190587753662392e-01,8.445542450240506484e-75
1.656605958949914359e-01,2.374567433234658313e-74
1.668100537200058742e-01,6.629192169860832863e-74
1.679674872092653537e-01,1.837710488523680532e-73
1.691329517029648011e-01,5.058887914562828703e-73
1.703065029252844309e-01,1.382978558817160788e-72
1.714881969870540035e-01,3.754733070260332745e-72
1.726780903884355400e-01,1.012433671520784533e-71
1.738762400216250781e-01,2.711430667531021477e-71
1.750827031735724126e-01,7.212655925657307408e-71
1.762975375287205715e-01,1.905798368696968114e-70
1.775208011717634982e-01,5.002231754793754953e-70
1.787525525904234969e-01,1.304294754967521381e-69
1.799928506782476900e-01,3.378567415520181252e-69
1.812417547374236826e-01,8.694688307638717307e-69
1.824993244816152382e-01,2.223102989445992440e-68
1.837656200388171346e-01,5.647662014403674973e-68
1.850407019542301690e-01,1.425609712558618046e-67
1.863246311931560373e-01,3.575811130722614791e-67
1.876174691439120579e-01,8.912704205555434426e-67
1.889192776207666291e-01,2.207619872592973655e-66
1.902301188668944765e-01,5.434226436593377978e-66
1.915500555573527997e-01,1.329439036926077482e-65
1.928791508020778200e-01,3.232472808455283979e-65
1.942174681489025334e-01,7.811878146858540345e-65
1.955650715865949185e-01,1.876499315184589515e-64
1.969220255479172399e-01,4.480555356554403535e-64
1.982883949127071388e-01,1.063466378081416811e-63
1.996642450109794020e-01,2.509238999791778281e-63
2.010496416260497965e-01,5.885784911223658101e-63
2.024446509976803865e-01,1.372550910499406094e-62
2.038493398252463062e-01,3.182231389687526957e-62
2.052637752709252084e-01,7.335532534578882392e-62
2.066880249629082511e-01,1.681300725287804321e-61
2.081221569986338171e-01,3.831688148586564895e-61
