# Equilibrated background neutral density nn0 [cm^-3] per per-cathode S_gp [SCCM]
# Generated: 2026-05-06
# Conditions: 100 cycles x 3.0 s, Plasma=False, adaptive RK45, h_max=0.01 s, nn0_init=1e+08 cm^-3
# Fixed: S_pump_L=4000 L/s, S_pump_R=4000 L/s, Lm=1800 cm, Lp=1800 cm, gas_type=He
# Max relative spread across cells: 7.434%
# s_gp_sccm,nn0_single_cm3,nn0_twin_cm3
100,3.024484e+10,6.048968e+10
200,6.048968e+10,1.209794e+11
300,9.073453e+10,1.814691e+11
500,1.512242e+11,3.024484e+11
750,2.268363e+11,4.536726e+11
1000,3.024484e+11,6.048968e+11
1500,4.536726e+11,9.073453e+11
2000,6.048968e+11,1.209794e+12
2500,7.561211e+11,1.512242e+12
3000,9.073453e+11,1.814691e+12
4000,1.209794e+12,2.419587e+12
5000,1.512242e+12,3.024484e+12
6000,1.814691e+12,3.629381e+12
7000,2.117139e+12,4.234278e+12
8000,2.419587e+12,4.839175e+12
10000,3.024484e+12,6.048968e+12
12000,3.629381e+12,7.258762e+12
14000,4.234278e+12,8.468556e+12
16000,4.839175e+12,9.678350e+12
